barcode,tradeName,unitsPerPack,tier,why,batches,detail,lastStripCost,packetPrice
Aspirin 100mg,"Aspirin 100mg",1,أ — مؤكد,"أول دفعة 2026-04-02 = 1، و8 دفعة لاحقة كلها مضاعفات له",9,"2026-04-02:1@1207 | 2026-06-04:17@1207 | 2026-07-02:20@1207 | 2026-07-26:4@1207 | 2026-07-27:20@1207 | 2026-08-11:20@1207 | 2026-08-22:10@1205 | 2026-08-25:15@1207 | 2026-09-09:20@1207",1207,1207
8718692510135,"Omnic ocas 0.4mg tab",1,أ — مؤكد,"أول دفعة 2026-04-02 = 1، و5 دفعة لاحقة كلها مضاعفات له",6,"2026-04-02:1@6885 | 2026-07-16:3@6877 | 2026-07-31:3@6885 | 2026-08-02:3@6885 | 2026-08-15:6@6877 | 2026-09-02:6@6890",6890,6890
8902399003926,"Fluconazol 150mg cap",1,أ — مؤكد,"أول دفعة 2026-04-08 = 1، و5 دفعة لاحقة كلها مضاعفات له",6,"2026-04-08:1@768 | 2026-05-14:5@770 | 2026-07-12:10@768 | 2026-08-05:10@768 | 2026-08-09:10@768 | 2026-09-08:10@769",769,769
7640153082848,"Gasec_20",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-03-23:1@6250 | 2026-06-25:2@6254 | 2026-08-09:2@6255 | 2026-09-02:1@6254 | 2026-09-09:2@6255",6255,6255
6211361023056,"laxamid 10mg sops supp",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-03-23:1@1712 | 2026-05-29:4@1760 | 2026-06-25:1@1755 | 2026-07-02:6@1760 | 2026-08-23:20@1760",1760,1760
89023999875135,"Achee sinus tab",1,أ — مؤكد,"أول دفعة 2026-03-24 = 1، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-03-24:1@923 | 2026-05-17:6@923 | 2026-07-21:28@659 | 2026-08-15:20@675 | 2026-08-24:12@950",950,950
8699527652223,"Ferlos oral vial",10,أ — مؤكد,"أول دفعة 2026-03-24 = 10، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-03-24:10@625 | 2026-04-18:20@12500 | 2026-08-15:10@1250 | 2026-08-15:20@1250 | 2026-08-15:50@1250",1250,12500
5000158102316,"Strepsils cool ",1,أ — مؤكد,"أول دفعة 2026-03-25 = 1، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-03-25:1@2414 | 2026-05-17:2@2414 | 2026-06-01:4@2414 | 2026-09-08:6@2414 | 2026-09-16:6@2414",2414,2414
5060565106215,"Revuele  vitamin C 15% serum",1,أ — مؤكد,"أول دفعة 2026-04-07 = 1، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-04-07:1@8105 | 2026-05-19:1@9283 | 2026-08-15:1@8800 | 2026-08-22:1@9050 | 2026-08-22:1@8553",8553,8553
4048846022066,"Twynsta 80/5mg",2,أ — مؤكد,"أول دفعة 2026-04-14 = 2، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-04-14:2@5635 | 2026-07-06:12@5635 | 2026-07-26:4@5635 | 2026-08-02:4@5635 | 2026-08-03:12@5631",5631,11263
5000456056151,"Crestor 10mg tab",1,أ — مؤكد,"أول دفعة 2026-04-23 = 1، و4 دفعة لاحقة كلها مضاعفات له",5,"2026-04-23:1@6136 | 2026-07-06:4@6136 | 2026-07-31:4@6136 | 2026-08-07:4@6136 | 2026-09-06:4@6136",6136,6136
6251875000655,"Piocine 10mg tab",1,أ — مؤكد,"أول دفعة 2026-03-23 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-23:1@1240 | 2026-06-29:13@1148 | 2026-08-13:20@1389 | 2026-09-17:26@934",934,934
8901296111215,"Enhancin 1000mg tab",2,أ — مؤكد,"أول دفعة 2026-03-24 = 2، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-24:2@3182 | 2026-07-16:28@2439 | 2026-07-25:10@0 | 2026-07-25:38@2150",2150,4300
6221051041086,"Congestal syr",1,أ — مؤكد,"أول دفعة 2026-03-26 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-26:1@3072 | 2026-05-11:4@3072 | 2026-08-07:5@3072 | 2026-09-08:10@3072",3072,3072
Glucovance 500\2.5,"Glucovance 500\2.5",1,أ — مؤكد,"أول دفعة 2026-03-26 = 1، و3 دفعة لاحقة كلها مضاعفات له",4,"2026-03-26:1@4200 | 2026-06-16:4@3342 | 2026-07-19:4@4195 | 2026-08-23:8@3345",3345,3345
